
[2021/9/29 17:32:38 1] save: 2021-09-29 17:32:38 狄天天想上(0) Level:116 DC:92 Body[0]: MakeIndex:38674 Index:10069 btValue: Body[1]: MakeIndex:38673 Index:10068 btValue: Body[2]: MakeIndex:38688 Index:10078 btValue: Body[3]: MakeIndex:38676 Index:10071 btValue: Body[4]: MakeIndex:38675 Index:10070 btValue: Body[5]: MakeIndex:38677 Index:10072 btValue: Body[6]: MakeIndex:38678 Index:10072 btValue: Body[7]: MakeIndex:38679 Index:10073 btValue: Body[8]: MakeIndex:38680 Index:10073 btValue: Body[9]: MakeIndex:38686 Index:10079 btValue: Body[10]: MakeIndex:38681 Index:10074 btValue: Body[11]: MakeIndex:38685 Index:10075 btValue: Body[12]: MakeIndex:38687 Index:10076 btValue: Body[15]: MakeIndex:38689 Index:10077 btValue: Body[16]: MakeIndex:38684 Index:11997 btValue: Body[18]: MakeIndex:38682 Index:11959 btValue:  -- Bag[0]: MakeIndex:38683 Index:10027 Throw:0, btValue: Bag[1]: MakeIndex:38690 Index:10020 Throw:0, btValue: Bag[2]: MakeIndex:38691 Index:10021 Throw:0, btValue: Bag[3]: MakeIndex:38692 Index:11996 Throw:0, btValue: 

[2021/9/29 17:33:09 1] save: 2021-09-29 17:33:09 狄天天想上(0) Level:116 DC:92 Body[0]: MakeIndex:38674 Index:10069 btValue: Body[1]: MakeIndex:38673 Index:10068 btValue: Body[2]: MakeIndex:38688 Index:10078 btValue: Body[3]: MakeIndex:38676 Index:10071 btValue: Body[4]: MakeIndex:38675 Index:10070 btValue: Body[5]: MakeIndex:38677 Index:10072 btValue: Body[6]: MakeIndex:38678 Index:10072 btValue: Body[7]: MakeIndex:38679 Index:10073 btValue: Body[8]: MakeIndex:38680 Index:10073 btValue: Body[9]: MakeIndex:38686 Index:10079 btValue: Body[10]: MakeIndex:38681 Index:10074 btValue: Body[11]: MakeIndex:38685 Index:10075 btValue: Body[12]: MakeIndex:38687 Index:10076 btValue: Body[15]: MakeIndex:38689 Index:10077 btValue: Body[16]: MakeIndex:38684 Index:11997 btValue: Body[18]: MakeIndex:38682 Index:11959 btValue:  -- Bag[0]: MakeIndex:38683 Index:10027 Throw:0, btValue: Bag[1]: MakeIndex:38690 Index:10020 Throw:0, btValue: Bag[2]: MakeIndex:38691 Index:10021 Throw:0, btValue: Bag[3]: MakeIndex:38692 Index:11996 Throw:0, btValue: 

[2021/9/29 17:33:39 1] save: 2021-09-29 17:33:39 狄天天想上(0) Level:116 DC:92 Body[0]: MakeIndex:38674 Index:10069 btValue: Body[1]: MakeIndex:38673 Index:10068 btValue: Body[2]: MakeIndex:38688 Index:10078 btValue: Body[3]: MakeIndex:38676 Index:10071 btValue: Body[4]: MakeIndex:38675 Index:10070 btValue: Body[5]: MakeIndex:38677 Index:10072 btValue: Body[6]: MakeIndex:38678 Index:10072 btValue: Body[7]: MakeIndex:38679 Index:10073 btValue: Body[8]: MakeIndex:38680 Index:10073 btValue: Body[9]: MakeIndex:38686 Index:10079 btValue: Body[10]: MakeIndex:38681 Index:10074 btValue: Body[11]: MakeIndex:38685 Index:10075 btValue: Body[12]: MakeIndex:38687 Index:10076 btValue: Body[15]: MakeIndex:38689 Index:10077 btValue: Body[16]: MakeIndex:38684 Index:11997 btValue: Body[18]: MakeIndex:38682 Index:11959 btValue:  -- Bag[0]: MakeIndex:38683 Index:10027 Throw:0, btValue: Bag[1]: MakeIndex:38690 Index:10020 Throw:0, btValue: Bag[2]: MakeIndex:38691 Index:10021 Throw:0, btValue: Bag[3]: MakeIndex:38692 Index:11996 Throw:0, btValue: 

[2021/9/29 17:34:09 1] save: 2021-09-29 17:34:09 狄天天想上(0) Level:117 DC:92 Body[0]: MakeIndex:38674 Index:10069 btValue: Body[1]: MakeIndex:38673 Index:10068 btValue: Body[2]: MakeIndex:38688 Index:10078 btValue: Body[3]: MakeIndex:38676 Index:10071 btValue: Body[4]: MakeIndex:38675 Index:10070 btValue: Body[5]: MakeIndex:38677 Index:10072 btValue: Body[6]: MakeIndex:38678 Index:10072 btValue: Body[7]: MakeIndex:38679 Index:10073 btValue: Body[8]: MakeIndex:38680 Index:10073 btValue: Body[9]: MakeIndex:38686 Index:10079 btValue: Body[10]: MakeIndex:38681 Index:10074 btValue: Body[11]: MakeIndex:38685 Index:10075 btValue: Body[12]: MakeIndex:38687 Index:10076 btValue: Body[15]: MakeIndex:38689 Index:10077 btValue: Body[16]: MakeIndex:38684 Index:11997 btValue: Body[18]: MakeIndex:38682 Index:11959 btValue:  -- Bag[0]: MakeIndex:38683 Index:10027 Throw:0, btValue: Bag[1]: MakeIndex:38690 Index:10020 Throw:0, btValue: Bag[2]: MakeIndex:38691 Index:10021 Throw:0, btValue: Bag[3]: MakeIndex:38692 Index:11996 Throw:0, btValue: 

[2021/9/29 17:34:39 1] save: 2021-09-29 17:34:39 狄天天想上(0) Level:117 DC:92 Body[0]: MakeIndex:38674 Index:10069 btValue: Body[1]: MakeIndex:38673 Index:10068 btValue: Body[2]: MakeIndex:38688 Index:10078 btValue: Body[3]: MakeIndex:38676 Index:10071 btValue: Body[4]: MakeIndex:38675 Index:10070 btValue: Body[5]: MakeIndex:38677 Index:10072 btValue: Body[6]: MakeIndex:38678 Index:10072 btValue: Body[7]: MakeIndex:38679 Index:10073 btValue: Body[8]: MakeIndex:38680 Index:10073 btValue: Body[9]: MakeIndex:38686 Index:10079 btValue: Body[10]: MakeIndex:38681 Index:10074 btValue: Body[11]: MakeIndex:38685 Index:10075 btValue: Body[12]: MakeIndex:38687 Index:10076 btValue: Body[15]: MakeIndex:38689 Index:10077 btValue: Body[16]: MakeIndex:38684 Index:11997 btValue: Body[18]: MakeIndex:38682 Index:11959 btValue:  -- Bag[0]: MakeIndex:38683 Index:10027 Throw:0, btValue: Bag[1]: MakeIndex:38690 Index:10020 Throw:0, btValue: Bag[2]: MakeIndex:38691 Index:10021 Throw:0, btValue: Bag[3]: MakeIndex:38692 Index:11996 Throw:0, btValue: 

[2021/9/29 17:35:09 1] save: 2021-09-29 17:35:09 狄天天想上(0) Level:117 DC:92 Body[0]: MakeIndex:38674 Index:10069 btValue: Body[1]: MakeIndex:38673 Index:10068 btValue: Body[2]: MakeIndex:38688 Index:10078 btValue: Body[3]: MakeIndex:38676 Index:10071 btValue: Body[4]: MakeIndex:38675 Index:10070 btValue: Body[5]: MakeIndex:38677 Index:10072 btValue: Body[6]: MakeIndex:38678 Index:10072 btValue: Body[7]: MakeIndex:38679 Index:10073 btValue: Body[8]: MakeIndex:38680 Index:10073 btValue: Body[9]: MakeIndex:38686 Index:10079 btValue: Body[10]: MakeIndex:38681 Index:10074 btValue: Body[11]: MakeIndex:38685 Index:10075 btValue: Body[12]: MakeIndex:38687 Index:10076 btValue: Body[15]: MakeIndex:38689 Index:10077 btValue: Body[16]: MakeIndex:38684 Index:11997 btValue: Body[18]: MakeIndex:38682 Index:11959 btValue:  -- Bag[0]: MakeIndex:38683 Index:10027 Throw:0, btValue: Bag[1]: MakeIndex:38690 Index:10020 Throw:0, btValue: Bag[2]: MakeIndex:38691 Index:10021 Throw:0, btValue: Bag[3]: MakeIndex:38692 Index:11996 Throw:0, btValue: 

[2021/9/29 17:35:39 1] save: 2021-09-29 17:35:39 狄天天想上(0) Level:118 DC:92 Body[0]: MakeIndex:38674 Index:10069 btValue: Body[1]: MakeIndex:38673 Index:10068 btValue: Body[2]: MakeIndex:38688 Index:10078 btValue: Body[3]: MakeIndex:38676 Index:10071 btValue: Body[4]: MakeIndex:38675 Index:10070 btValue: Body[5]: MakeIndex:38677 Index:10072 btValue: Body[6]: MakeIndex:38678 Index:10072 btValue: Body[7]: MakeIndex:38679 Index:10073 btValue: Body[8]: MakeIndex:38680 Index:10073 btValue: Body[9]: MakeIndex:38686 Index:10079 btValue: Body[10]: MakeIndex:38681 Index:10074 btValue: Body[11]: MakeIndex:38685 Index:10075 btValue: Body[12]: MakeIndex:38687 Index:10076 btValue: Body[15]: MakeIndex:38689 Index:10077 btValue: Body[16]: MakeIndex:38684 Index:11997 btValue: Body[18]: MakeIndex:38682 Index:11959 btValue:  -- Bag[0]: MakeIndex:38683 Index:10027 Throw:0, btValue: Bag[1]: MakeIndex:38690 Index:10020 Throw:0, btValue: Bag[2]: MakeIndex:38691 Index:10021 Throw:0, btValue: Bag[3]: MakeIndex:38692 Index:11996 Throw:0, btValue: 

[2021/9/29 17:36:09 1] save: 2021-09-29 17:36:09 狄天天想上(0) Level:118 DC:92 Body[0]: MakeIndex:38674 Index:10069 btValue: Body[1]: MakeIndex:38673 Index:10068 btValue: Body[2]: MakeIndex:38688 Index:10078 btValue: Body[3]: MakeIndex:38676 Index:10071 btValue: Body[4]: MakeIndex:38675 Index:10070 btValue: Body[5]: MakeIndex:38677 Index:10072 btValue: Body[6]: MakeIndex:38678 Index:10072 btValue: Body[7]: MakeIndex:38679 Index:10073 btValue: Body[8]: MakeIndex:38680 Index:10073 btValue: Body[9]: MakeIndex:38686 Index:10079 btValue: Body[10]: MakeIndex:38681 Index:10074 btValue: Body[11]: MakeIndex:38685 Index:10075 btValue: Body[12]: MakeIndex:38687 Index:10076 btValue: Body[15]: MakeIndex:38689 Index:10077 btValue: Body[16]: MakeIndex:38684 Index:11997 btValue: Body[18]: MakeIndex:38682 Index:11959 btValue:  -- Bag[0]: MakeIndex:38683 Index:10027 Throw:0, btValue: Bag[1]: MakeIndex:38690 Index:10020 Throw:0, btValue: Bag[2]: MakeIndex:38691 Index:10021 Throw:0, btValue: Bag[3]: MakeIndex:38692 Index:11996 Throw:0, btValue: 

[2021/9/29 17:36:39 1] save: 2021-09-29 17:36:39 狄天天想上(0) Level:118 DC:92 Body[0]: MakeIndex:38674 Index:10069 btValue: Body[1]: MakeIndex:38673 Index:10068 btValue: Body[2]: MakeIndex:38688 Index:10078 btValue: Body[3]: MakeIndex:38676 Index:10071 btValue: Body[4]: MakeIndex:38675 Index:10070 btValue: Body[5]: MakeIndex:38677 Index:10072 btValue: Body[6]: MakeIndex:38678 Index:10072 btValue: Body[7]: MakeIndex:38679 Index:10073 btValue: Body[8]: MakeIndex:38680 Index:10073 btValue: Body[9]: MakeIndex:38686 Index:10079 btValue: Body[10]: MakeIndex:38681 Index:10074 btValue: Body[11]: MakeIndex:38685 Index:10075 btValue: Body[12]: MakeIndex:38687 Index:10076 btValue: Body[15]: MakeIndex:38689 Index:10077 btValue: Body[16]: MakeIndex:38684 Index:11997 btValue: Body[18]: MakeIndex:38682 Index:11959 btValue:  -- Bag[0]: MakeIndex:38683 Index:10027 Throw:0, btValue: Bag[1]: MakeIndex:38690 Index:10020 Throw:0, btValue: Bag[2]: MakeIndex:38691 Index:10021 Throw:0, btValue: Bag[3]: MakeIndex:38692 Index:11996 Throw:0, btValue: 

[2021/9/29 17:37:09 1] save: 2021-09-29 17:37:09 狄天天想上(0) Level:118 DC:92 Body[0]: MakeIndex:38674 Index:10069 btValue: Body[1]: MakeIndex:38673 Index:10068 btValue: Body[2]: MakeIndex:38688 Index:10078 btValue: Body[3]: MakeIndex:38676 Index:10071 btValue: Body[4]: MakeIndex:38675 Index:10070 btValue: Body[5]: MakeIndex:38677 Index:10072 btValue: Body[6]: MakeIndex:38678 Index:10072 btValue: Body[7]: MakeIndex:38679 Index:10073 btValue: Body[8]: MakeIndex:38680 Index:10073 btValue: Body[9]: MakeIndex:38686 Index:10079 btValue: Body[10]: MakeIndex:38681 Index:10074 btValue: Body[11]: MakeIndex:38685 Index:10075 btValue: Body[12]: MakeIndex:38687 Index:10076 btValue: Body[15]: MakeIndex:38689 Index:10077 btValue: Body[16]: MakeIndex:38684 Index:11997 btValue: Body[18]: MakeIndex:38682 Index:11959 btValue:  -- Bag[0]: MakeIndex:38683 Index:10027 Throw:0, btValue: Bag[1]: MakeIndex:38690 Index:10020 Throw:0, btValue: Bag[2]: MakeIndex:38691 Index:10021 Throw:0, btValue: Bag[3]: MakeIndex:38692 Index:11996 Throw:0, btValue: 

